date,year,title,simple_title,artist,main_artist,peak_pos,last_pos,weeks,rank,change,spotify_link,spotify_id,video_link,all_genre,main_genre,broad_genre,album,album_uri,num_songs_on_album,album_type,release_date
1/15/11,2011,Opposite Of Adults,opposite of adults,chiddy bang,chiddy bang,90,0,2,100,Re-Entry,https://embed.spotify.com/?uri=spotify:track:01oPNCtTniFT3YM4K3ksTf,01oPNCtTniFT3YM4K3ksTf,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=US8Z31090001,"[u'indie pop rap', u'pop rap', u'rap']",[u'rap'],rap,The Preview,spotify:album:0BfzIrlViS9devVRvpf4tw,8,album,10/12/10
1/15/11,2011,Big Night,big night,big time rush,big time rush,79,0,1,79,Hot Shot Debut,https://embed.spotify.com/?uri=spotify:track:3mTyzSoSqh6KJj9p88WHaY,3mTyzSoSqh6KJj9p88WHaY,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USSM21100722,"[u'boy band', u'dance pop', u'pop', u'post-teen pop', u'teen pop']",[u'teen pop'],pop,BTR,spotify:album:2RjFzASjHZG1lUbCKqUahx,11,album,10/11/10
1/2/11,2011,As She's Walking Away,as she's walking away,zac brown band,zac brown band,32,54,20,61,-7,https://embed.spotify.com/?uri=spotify:track:5qYiVdWxd84wRWGIQ9Hts6,5qYiVdWxd84wRWGIQ9Hts6,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USAV61000035,"[u'contemporary country', u'country', u'country road', u'modern country rock']",[u'modern country rock'],country,Greatest Hits So Far...,spotify:album:4YjC2XwME8RP4rmSIeGK7I,14,compilation,11/7/14
1/2/11,2011,Pursuit Of Happiness (Nightmare),pursuit of happiness,kid cudi,kid cudi,59,0,3,95,Re-Entry,https://embed.spotify.com/?uri=spotify:track:5iSEsR6NKjlC9SrIJkyL3k,5iSEsR6NKjlC9SrIJkyL3k,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USUV70902741,"[u'hip hop', u'indie r&b', u'pop', u'pop rap', u'rap']",[u'rap'],r&b,Man On The Moon: The End Of Day,spotify:album:47y3PbX8oIDCkYAFylCJz0,15,album,1/1/09
1/2/11,2011,Hit It Again,hit it again,3oh!3,3oh!3,66,0,1,66,New,https://embed.spotify.com/?uri=spotify:track:1ihqTGPvywqk4A7Tk8bKUu,1ihqTGPvywqk4A7Tk8bKUu,,"[u'dance pop', u'electropowerpop', u'emo', u'modern rock', u'pop', u'pop punk', u'pop rap', u'post-teen pop']",[u'post-teen pop'],edm,unknown,unknown,unknown,unknown,unknown
1/2/11,2011,I Am The Champion,i am the champion,b.o.b,bob,85,0,1,85,New,,,,"[u'dance pop', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop']",[u'southern hip hop'],rap,unknown,unknown,unknown,unknown,unknown
1/2/11,2011,Shake Up Christmas,shake up christmas,train,train,99,0,1,99,New,https://embed.spotify.com/?uri=spotify:track:3MhfDX0UaeJQ2vOhv9J8RC,3MhfDX0UaeJQ2vOhv9J8RC,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USSM21002118,"[u'neo mellow', u'pop', u'pop quebecois', u'pop rap', u'pop rock']",[u'pop rock'],rap,"Save Me, San Francisco (Golden Gate Edition)",spotify:album:7tEPbuzTMNGSytEMdezXtS,17,album,2009
1/1/11,2011,September,september,daughtry,daughtry,36,96,20,95,1,https://embed.spotify.com/?uri=spotify:track:21RRhjnMsrvQpeQ10ptSBZ,21RRhjnMsrvQpeQ10ptSBZ,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=GBE431000194,"[u'alternative metal', u'neo mellow', u'nu metal', u'pop rock', u'post-grunge']",[u'post-grunge'],rock,Leave This Town,spotify:album:4a3wP4t2IswXR40aXQcYrM,12,album,7/14/09
1/1/11,2011,Letting Go (Dutty Love),letting go,sean kingston,sean kingston,36,86,20,98,-12,https://embed.spotify.com/?uri=spotify:track:0wDbYIl4fN2mccHczCJqEf,0wDbYIl4fN2mccHczCJqEf,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USSM21001055,"[u'dance pop', u'pop', u'pop rap', u'post-teen pop', u'r&b', u'urban contemporary']",[u'urban contemporary'],r&b,Letting Go (Dutty Love) featuring Nicki Minaj,spotify:album:6b9hnQ1lP77DB40PbpHwWI,1,single,7/23/10
1/1/11,2011,All I Want Is You,all i want is you,miguel,miguel,58,79,14,89,-10,https://embed.spotify.com/?uri=spotify:track:5VA4Ispp52EA1sOqzMz3Av,5VA4Ispp52EA1sOqzMz3Av,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USZM21000044,"[u'dance pop', u'indie r&b', u'pop', u'pop rap', u'r&b', u'rap']",[u'rap'],r&b,All I Want Is You,spotify:album:493HYe7N5pleudEZRyhE7R,13,album,11/26/10
